tahun,luas_panen,produksi,produktivitas
1997,39454,1909176.20,48.39
1998,41725,1787621.70,42.84
1999,40476,1785478.90,44.11
2000,39168,1758632.50,44.90
2001,39845,1675078.10,42.04
2002,41913,1842951.30,43.97
2003,40769,1824428.70,44.75
2004,40240,1834851.60,45.60
2005,42633,1935111.90,45.39
2006,41318,1855410.20,44.91
2007,40027,1696359.20,42.38
2008,41622,2316320.80,55.65
2009,44170,2603530.60,58.94
2010,44407,2262779.40,50.96
2011,46857,2514141.80,53.06
2012,46155,2596409.20,56.25
2013,46544,2951780.00,63.42
2014,52322,3168600.00,60.56
2015,50104,3131590.00,62.50
2016,52322,3168610.00,60.56
2017,52774,3316760.00,62.85
2018,41680,2478675.38,59.47
2019,39854,2016208.55,50.59
2020,44048,2072938.47,47.06
2021,51064,2582023.85,50.56
2022,46994,2383927.87,50.73
